PF00389	2-Hacid_dh
PF00198	2-oxoacid_dh
PF04029	2-ph_phosp
PF03171	2OG-FeII_Oxy
PF01073	3Beta_HSD
PF04419	4F5
PF03061	4HBT
PF02872	5_nucleotid_C
PF00003	7tm_3
PF01661	Macro
PF02177	APP_N
PF00962	A_deaminase
PF01490	Aa_trans
PF00004	AAA
PF00696	AA_kinase
PF03109	ABC1
PF01842	ACT
PF04083	Abhydro_lipase
PF00583	Acetyltransf_1
PF01648	ACPS
PF01064	Activin_recp
PF00441	Acyl-CoA_dh_1
PF01757	Acyl_transf_3
PF00928	Adap_comp_sub
PF00107	ADH_zinc_N
PF02682	AHS1
PF03915	AIP3
PF00842	Ala_racemase_C
PF01168	Ala_racemase_N
PF01315	Ald_Xan_dh_C
PF02738	Ald_Xan_dh_C2
PF00248	Aldo_ket_red
PF01263	Aldose_epim
PF03155	Alg6_Alg8
PF00245	Alk_phosphatase
PF02806	Alpha-amylase_C
PF05111	Amelin
PF01510	Amidase_2
PF01520	Amidase_3
PF01593	Amino_oxidase
PF00501	AMP-binding
PF05195	AMP_N
PF03098	An_peroxidase
PF01821	ANATO
PF01094	ANF_receptor
PF00023	Ank
PF00191	Annexin
PF03861	ANTAR
PF04729	ASF1_hist_chap
PF02822	Antistasin
PF00847	AP2
PF02424	ApbE
PF04049	APC8
PF04106	APG5
PF04602	Arabinose_trans
PF03079	ARD
PF01412	ArfGap
PF01388	ARID
PF04683	Proteasom_Rpn13
PF00514	Arm
PF00339	Arrestin_N
PF02752	Arrestin_C
PF04959	ARS2
PF01037	AsnC_trans_reg
PF05118	Asp_Arg_Hydrox
PF01177	Asp_Glu_race
PF01400	Astacin
PF02178	AT_hook
PF03029	ATP_bind_1
PF00306	ATP-synt_ab_C
PF02874	ATP-synt_ab_N
PF04718	ATP-synt_G
PF03768	Attacin_N
PF03797	Autotransporter
PF03547	Mem_trans
PF02310	B12-binding
PF02607	B12-binding_2
PF02362	B3
PF01313	Bac_export_3
PF02673	BacA
PF01011	PQQ
PF03704	BTAD
PF01426	BAH
PF01145	Band_7
PF03594	BenE
PF02944	BESS
PF02369	Big_1
PF02785	Biotin_carb_C
PF02012	BNR
PF00528	BPD_transp_1
PF02237	BPL_C
PF03099	BPL_LplA_LipB
PF02485	Branch
PF00533	BRCT
PF04089	BRICHOS
PF04427	Brix
PF03097	BRO1
PF00439	Bromodomain
PF03909	BSD
PF03092	BT1
PF00651	BTB
PF03437	BtpA
PF03131	bZIP_Maf
PF00168	C2
PF02743	Cache_1
PF04857	CAF1
PF03135	CagE_TrbE_VirB
PF02515	CoA_transf_3
PF02888	CaMBD
PF01302	CAP_GLY
PF01039	Carboxyl_trans
PF00755	Carn_acyltransf
PF03378	CAS_CSE1
PF00690	Cation_ATPase_N
PF01545	Cation_efflux
PF04586	Peptidase_U35
PF01607	CBM_14
PF00942	CBM_3
PF02018	CBM_4_9
PF03422	CBM_6
PF00571	CBS
PF02754	CCG
PF03379	CcmB
PF04103	CD20
PF05179	CDC73
PF01066	CDP-OH_P_transf
PF00150	Cellulase
